Date;Suburb;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Evaporation (mm);Sunshine (hours);Direction of maximum wind gust;Speed of maximum wind gust (km/h)
2/9/24;Ascot;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19.09;42;14.02;12.05;SW;33
2/9/24;Perth Airport;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18.08;43.04.00;14.02;12.05;ENE;46
2/9/24;Redcliffe;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19.09;42;14.02;12.05;SW;33
2/9/24;South Guildford;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18.08;43.04.00;14.02;12.05;ENE;46
2/9/24;South Perth;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19.09;42;14.02;12.05;SW;33
2/9/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;21.07;44.08.00;14.02;12.05;SW;41
2/9/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;21.07;44.08.00;14.02;12.05;SW;41
2/9/24;Jarrahdale;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20.02;43.06.00;14.02;12.05;SW;35
2/9/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20.06;41.03.00;14.02;12.05;S;31
2/9/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;21;42.06.00;14.02;12.05;NE;44
2/9/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20.06;41.03.00;14.02;12.05;S;31
2/9/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;21.07;44.08.00;14.02;12.05;SW;41
2/9/24;Spearwood;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;14.02;12.05;NE;44
2/9/24;Bibra Lake;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;14.02;12.05;NE;44
2/9/24;Coogee;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;14.02;12.05;NE;44
2/9/24;Spearwood;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;14.02;12.05;NE;44
2/9/24;Coogee;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;14.02;12.05;NE;44
2/9/24;Munster;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;14.02;12.05;NE;44
1/5/24;East Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17;28.07.00;14.02;12.05;SSW;52
1/5/24;Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17;28.07.00;14.02;12.05;SSW;52
1/12/24;Jarrahdale;JARRAHDALE;SHIRE OF SERPENTINE-JARRAHDALE;19.07;38.01.00;9.02;13;E;43
1/12/24;Oakford;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;19.03;37.01.00;14.02;13;ESE;52
1/12/24;Serpentine;SERPENTINE;SHIRE OF SERPENTINE-JARRAHDALE;19.01;36.01.00;14.02;12.05;ENE;52
1/19/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21.04;27.06.00;10.02;12.08;SW;37
1/26/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;16.06;32.06.00;14.02;13;ESE;39
1/26/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;16.06;32.06.00;14.02;13;ESE;39
12/4/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18.04;26.05.00;8;11.08;SSW;33
12/4/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;16.01;26.01.00;8;10.01;SSW;43
12/4/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18.04;26.05.00;8;11.08;SSW;33
12/4/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;16.05;29.07.00;14.02;11.08;WSW;48
12/4/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;16.01;26.01.00;8;10.01;SSW;43
12/4/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18.04;26.05.00;8;11.08;SSW;33
12/18/23;Kalamunda;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14.09;30.02.00;14.02;12.05;E;70
12/18/23;Kewdale;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16.06;31.06.00;13;13.02;E;56
12/18/23;Welshpool;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16.06;31.06.00;13;13.02;E;56
12/18/23;Wattle Grove;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14.09;30.02.00;14.02;12.05;E;70
12/18/23;Belmont;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16.07;31.02.00;13;13.02;ESE;41
12/18/23;Kalamunda;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14.09;30.02.00;14.02;12.05;E;70
12/18/23;Kewdale;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16.06;31.06.00;13;13.02;E;56
12/18/23;Welshpool;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16.06;31.06.00;13;13.02;E;56
12/18/23;Wattle Grove;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14.09;30.02.00;14.02;12.05;E;70
12/18/23;Belmont;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16.07;31.02.00;13;13.02;ESE;41
12/25/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;19.02;38.07.00;14.02;12.05;ESE;56
12/25/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;19.02;38.07.00;14.02;12.05;ESE;56
12/25/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;20.01;36.02.00;14.02;12;SW;41
12/25/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;37.05.00;9.04;12;SW;41
12/25/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;19.05;38.08.00;9.04;12;WSW;33
12/25/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17.09;35;14.02;12.05;NULL;33
12/25/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17.08;27.07.00;14.02;12.05;SSW;44
12/25/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19.05;38.08.00;9.04;12;WSW;33
12/25/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19.05;38.08.00;9.04;12;WSW;33
12/25/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18.01;38.08.00;8.01;12;WSW;33
12/25/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19.02;38.07.00;14.02;12.05;ESE;56
12/25/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;19.02;38.07.00;14.02;12.05;ESE;56
12/25/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;19.02;38.07.00;14.02;12.05;ESE;56
12/25/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19.05;38.08.00;9.04;12;WSW;33
12/25/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19.05;38.08.00;9.04;12;WSW;33
12/25/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18.01;38.08.00;8.01;12;WSW;33
12/25/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19.02;38.07.00;14.02;12.05;ESE;56
12/25/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;20.01;36.02.00;14.02;12;SW;41
12/25/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;37.05.00;9.04;12;SW;41
12/25/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;19.05;38.08.00;9.04;12;WSW;33
12/25/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17.09;35;14.02;12.05;NULL;33
12/25/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17.08;27.07.00;14.02;12.05;SSW;44
2/5/24;Swan View;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;13.06;28.07.00;14.02;12.05;ESE;44
2/5/24;Stratton;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;14.09;28.09.00;10;12.07;ENE;31
2/5/24;Midvale;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;13.06;28.07.00;14.02;12.05;ESE;44
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14.09;28.09.00;10;12.07;ENE;31
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14.09;28.09.00;10;12.07;ENE;31
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13.06;28.07.00;14.02;12.05;ESE;44
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14.09;28.09.00;10;12.07;ENE;31
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14.09;28.09.00;10;12.07;ENE;31
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13.06;28.07.00;14.02;12.05;ESE;44
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14.09;28.09.00;10;12.07;ENE;31
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14.09;28.09.00;10;12.07;ENE;31
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13.06;28.07.00;14.02;12.05;ESE;44
2/12/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;17;38.01.00;14.02;12.04;ENE;54
1/1/24;Jarrahdale;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17.01;30.09.00;9;11.08;WSW;31
1/1/24;Darling Downs;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;16;27.08.00;14.02;11.08;SW;48
1/1/24;Serpentine;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17.09;24.00.00;14.02;12.05;SSW;67
