Date;Suburb;Status;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Rainfall (mm);Evaporation (mm);Sunshine (hours);Speed of maximum wind gust (km/h);Time of maximum wind gust
12/29/23;Mundaring;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;15,06;31.05.00;0;14,02;12,05;80;23.19
2/9/24;Guildford;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;Belmont;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;Ascot;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;Perth Airport;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;Redcliffe;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;South Guildford;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;South Perth;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;Guildford;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;Belmont;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;Ascot;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;Perth Airport;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;Redcliffe;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;South Guildford;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;South Perth;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;Stratton;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;20,02;43.06.00;0;14,02;12,05;35;16.06
2/9/24;Middle Swan;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;20,02;43.06.00;0;14,02;12,05;35;16.06
2/9/24;Midvale;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;23;43.09.00;0;14,02;12,05;52;04.23
2/9/24;Jarrahdale;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,02;43.06.00;0;14,02;12,05;35;16.06
2/9/24;Casuarina;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41.03.00;0;14,02;12,05;31;16.25
2/9/24;Oldbury;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;21;42.06.00;0;14,02;12,05;44;09.21
2/9/24;Serpentine;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41.03.00;0;14,02;12,05;31;16.25
2/9/24;Bullsbrook;ADVICE;BULLSBROOK;CITY OF SWAN;21,07;44.08.00;0;14,02;12,05;41;15.33
2/9/24;Guildford;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;Belmont;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;Ascot;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;Perth Airport;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;Redcliffe;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;South Guildford;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;46;07.17
2/9/24;South Perth;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;33;15.34
2/9/24;Bullsbrook;ADVICE;BULLSBROOK;CITY OF SWAN;21,07;44.08.00;0;14,02;12,05;41;15.33
2/9/24;Bullsbrook;ADVICE;BULLSBROOK;CITY OF SWAN;21,07;44.08.00;0;14,02;12,05;41;15.33
2/9/24;Jarrahdale;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,02;43.06.00;0;14,02;12,05;35;16.06
2/9/24;Casuarina;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41.03.00;0;14,02;12,05;31;16.25
2/9/24;Oldbury;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;21;42.06.00;0;14,02;12,05;44;09.21
2/9/24;Serpentine;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,06;41.03.00;0;14,02;12,05;31;16.25
2/9/24;Bullsbrook;ADVICE;BULLSBROOK;CITY OF SWAN;21,07;44.08.00;0;14,02;12,05;41;15.33
2/9/24;Spearwood;ADVICE;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;44;09.21
2/9/24;Bibra Lake;ADVICE;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;44;09.21
2/9/24;Coogee;ADVICE;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;44;09.21
2/9/24;Spearwood;ADVICE;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;44;09.21
2/9/24;Coogee;ADVICE;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;44;09.21
2/9/24;Munster;ADVICE;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;21;42.06.00;0;14,02;12,05;44;09.21
1/5/24;East Rockingham;ADVICE;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17;28.07.00;0;14,02;12,05;52;16.34
1/5/24;Rockingham;ADVICE;EAST ROCKINGHAM;CITY OF ROCKINGHAM;17;28.07.00;0;14,02;12,05;52;16.34
1/12/24;Jarrahdale;ADVICE;JARRAHDALE;SHIRE OF SERPENTINE-JARRAHDALE;19,07;38.01.00;0;9,02;13;43;22.35
1/12/24;Oakford;ADVICE;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;19,03;37.01.00;0;14,02;13;52;23.23
1/12/24;Serpentine;ADVICE;SERPENTINE;SHIRE OF SERPENTINE-JARRAHDALE;19,01;36.01.00;0;14,02;12,05;52;21.36
1/19/24;Hamersley;ADVICE;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;21,04;27.06.00;0;10,02;12,08;37;14.14
1/26/24;Southern River;ADVICE;the Collie River;SHIRES OF COLLIE AND DARDANUP;16,06;32.06.00;0;14,02;13;39;05.44
1/26/24;Southern River;ADVICE;the Collie River;SHIRES OF COLLIE AND DARDANUP;16,06;32.06.00;0;14,02;13;39;05.44
12/4/23;Hamersley;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,04;26.05.00;0;8;11,08;33;15.57
12/4/23;South Lake;ADVICE;Lake Muir Nature Reserve;Shire of Manjimup;16,01;26.01.00;0;8;10,01;43;15.30
12/4/23;Wanneroo;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;18,04;26.05.00;0;8;11,08;33;15.57
12/4/23;Mariginiup;ADVICE;JANDABUP and MARIGINIUP;CITY OF WANNEROO;16,05;29.07.00;0;14,02;11,08;48;14.52
12/4/23;South Lake;ADVICE;Lake Muir Nature Reserve;Shire of Manjimup;16,01;26.01.00;0;8;10,01;43;15.30
12/4/23;Hamersley;ADVICE;HAMERSLEY RANGE;SHIRE OF ASHBURTON;18,04;26.05.00;0;8;11,08;33;15.57
12/18/23;Kalamunda;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30.02.00;0;14,02;12,05;70;08.10
12/18/23;Kewdale;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,06;31.06.00;0;13;13,02;56;07.21
12/18/23;Welshpool;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,06;31.06.00;0;13;13,02;56;07.21
12/18/23;Wattle Grove;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30.02.00;0;14,02;12,05;70;08.10
12/18/23;Belmont;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,07;31.02.00;0;13;13,02;41;07.10
12/18/23;Kalamunda;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30.02.00;0;14,02;12,05;70;08.10
12/18/23;Kewdale;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,06;31.06.00;0;13;13,02;56;07.21
12/18/23;Welshpool;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,06;31.06.00;0;13;13,02;56;07.21
12/18/23;Wattle Grove;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;14,09;30.02.00;0;14,02;12,05;70;08.10
12/18/23;Belmont;ADVICE;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;16,07;31.02.00;0;13;13,02;41;07.10
12/25/23;Mundaring;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;56;06.39
12/25/23;Parkerville;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;56;06.39
12/25/23;The Spectacles;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20,01;36.02.00;0;14,02;12;41;15.11
12/25/23;Postans;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;37.05.00;0;9,04;12;41;16.16
12/25/23;Jarrahdale;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;19,05;38.08.00;0;9,04;12;33;13.52
12/25/23;Keysbrook;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,09;35;0;14,02;12,05;33;NULL
12/25/23;Serpentine;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,08;27.07.00;0;14,02;12,05;44;16.48
12/25/23;Gidgegannup;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38.08.00;0;9,04;12;33;13.52
12/25/23;Wooroloo;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38.08.00;0;9,04;12;33;13.52
12/25/23;Bailup;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,01;38.08.00;0;8,01;12;33;13.52
12/25/23;Mundaring;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;56;06.39
12/25/23;Mundaring;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;56;06.39
12/25/23;Parkerville;ADVICE;PARKERVILLE;SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;56;06.39
12/25/23;Gidgegannup;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38.08.00;0;9,04;12;33;13.52
12/25/23;Wooroloo;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,05;38.08.00;0;9,04;12;33;13.52
12/25/23;Bailup;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;18,01;38.08.00;0;8,01;12;33;13.52
12/25/23;Mundaring;ADVICE;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;19,02;38.07.00;0;14,02;12,05;56;06.39
12/25/23;The Spectacles;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20,01;36.02.00;0;14,02;12;41;15.11
12/25/23;Postans;ADVICE;POSTANS and THE SPECTACLES;CITY OF KWINANA;20;37.05.00;0;9,04;12;41;16.16
12/25/23;Jarrahdale;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;19,05;38.08.00;0;9,04;12;33;13.52
12/25/23;Keysbrook;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,09;35;0;14,02;12,05;33;NULL
12/25/23;Serpentine;ADVICE;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;17,08;27.07.00;0;14,02;12,05;44;16.48
2/5/24;Swan View;ADVICE;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;13,06;28.07.00;0;14,02;12,05;44;01.49
2/5/24;Stratton;ADVICE;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;14,09;28.09.00;0;10;12,07;31;08.12
2/5/24;Midvale;ADVICE;STRATTON and parts of MIDVALE and SWAN VIEW;CITY OF SWAN;13,06;28.07.00;0;14,02;12,05;44;01.49
2/5/24;Stratton;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28.09.00;0;10;12,07;31;08.12
2/5/24;Middle Swan;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28.09.00;0;10;12,07;31;08.12
2/5/24;Midvale;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13,06;28.07.00;0;14,02;12,05;44;01.49
2/5/24;Stratton;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28.09.00;0;10;12,07;31;08.12
2/5/24;Middle Swan;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28.09.00;0;10;12,07;31;08.12
2/5/24;Midvale;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13,06;28.07.00;0;14,02;12,05;44;01.49
2/5/24;Stratton;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28.09.00;0;10;12,07;31;08.12
2/5/24;Middle Swan;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;14,09;28.09.00;0;10;12,07;31;08.12
2/5/24;Midvale;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;13,06;28.07.00;0;14,02;12,05;44;01.49
2/12/24;Bullsbrook;ADVICE;BULLSBROOK;CITY OF SWAN;17;38.01.00;0;14,02;12,04;54;22.58
1/1/24;Jarrahdale;ADVICE;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17,01;30.09.00;0;9;11,08;31;14.44
1/1/24;Darling Downs;ADVICE;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;16;27.08.00;0;14,02;11,08;48;14.15
1/1/24;Serpentine;ADVICE;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17,09;24.00.00;0;14,02;12,05;67;19.08
1/1/24;Jarrahdale;ADVICE;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17,01;30.09.00;0;9;11,08;31;14.44
1/1/24;Darling Downs;ADVICE;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;16;27.08.00;0;14,02;11,08;48;14.15
1/1/24;Serpentine;ADVICE;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;17,09;24.00.00;0;14,02;12,05;67;19.08
1/15/24;South Lake;ADVICE;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;21,08;36.06.00;0;11;12,01;43;11.44
1/15/24;Yanchep;ADVICE;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;21,03;38.01.00;0;14,02;12,05;43;13.19
1/15/24;Wanneroo;ADVICE;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;22,03;34.04.00;0;11;12,01;26;13.42
1/15/24;Pinjar;ADVICE;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;21,08;36.06.00;0;11;12,01;43;11.44
1/15/24;Yanchep;ADVICE;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;21,03;38.01.00;0;14,02;12,05;43;13.19
1/15/24;Wanneroo;ADVICE;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;22,03;34.04.00;0;11;12,01;26;13.42
1/15/24;Pinjar;ADVICE;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;21,08;36.06.00;0;11;12,01;43;11.44
1/15/24;Jarrahdale;ADVICE;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;21,02;38.01.00;0;11;12,01;30;12.59
1/15/24;Oakford;ADVICE;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;23,01;34.05.00;0;14,02;12,01;31;10.34
1/15/24;Serpentine;ADVICE;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;22;33.01.00;0;14,02;12,05;31;07.56
