Date;Suburb;Time;Status;Location;Area;Minimum temperature (�C);Maximum temperature (�C);Rainfall (mm);Evaporation (mm);Sunshine (hours);Direction of maximum wind gust;Speed of maximum wind gust (km/h);Time of maximum wind gust
2/9/24;Guildford;08.51.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;ENE;46;07.17
2/9/24;Belmont;08.51.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;SW;33;15.34
2/9/24;Ascot;08.51.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;SW;33;15.34
2/9/24;Perth Airport;08.51.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;ENE;46;07.17
2/9/24;Redcliffe;08.51.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;SW;33;15.34
2/9/24;South Guildford;08.51.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;ENE;46;07.17
2/9/24;South Perth;08.51.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;SW;33;15.34
2/9/24;Guildford;10.32.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;ENE;46;07.17
2/9/24;Belmont;10.32.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;SW;33;15.34
2/9/24;Ascot;10.32.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;SW;33;15.34
2/9/24;Perth Airport;10.32.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;ENE;46;07.17
2/9/24;Redcliffe;10.32.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;SW;33;15.34
2/9/24;South Guildford;10.32.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;18,08;43.04.00;0;14,02;12,05;ENE;46;07.17
2/9/24;South Perth;10.32.00;ADVICE;ASCOT, PERTH AIRPORT, REDCLIFFE and SOUTH GUILDFORD;TOWN of BASSENDEAN and CITIES of BELMONT and SWAN;19,09;42;0;14,02;12,05;SW;33;15.34
2/9/24;Stratton;10.48.00;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;20,02;43.06.00;0;14,02;12,05;SW;35;16.06
2/9/24;Middle Swan;10.48.00;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;20,02;43.06.00;0;14,02;12,05;SW;35;16.06
2/9/24;Midvale;10.48.00;ADVICE;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;23;43.09.00;0;14,02;12,05;ESE;52;04.23
2/9/24;Jarrahdale;11.01.00;ADVICE;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;20,02;43.06.00;0;14,02;12,05;SW;35;16.06
