Date;Suburb;Location;Area;Maximum_temperature(C);Evaporation(mm)
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;10
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;10
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;14,02
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;10
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;10
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;14,02
2/5/24;Stratton;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;10
2/5/24;Middle Swan;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;10
2/5/24;Midvale;STRATTON, MIDDLE SWAN and MIDVALE;CITY OF SWAN;28;14,02
2/12/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;38;14,02
1/1/24;Jarrahdale;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;30;9
1/1/24;Darling Downs;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;27;14,02
1/1/24;Serpentine;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;24;14,02
1/1/24;Jarrahdale;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;30;9
1/1/24;Darling Downs;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;27;14,02
1/1/24;Serpentine;DARLING DOWNS;SHIRE OF SERPENTINE-JARRAHDALE;24;14,02
1/15/24;South Lake;Lake Muir Nature Reserve;SHIRE OF MANJIMUP;36;11
1/15/24;Yanchep;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;38;14,02
1/15/24;Wanneroo;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;34;11
1/15/24;Pinjar;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING;36;11
1/15/24;Yanchep;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;38;14,02
1/15/24;Wanneroo;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;34;11
1/15/24;Pinjar;BAMBUN, MUCHEA, PINJAR, YANCHEP, YEAL;CITY OF WANNEROO and the SHIRES OF GINGIN and CHITTERING.;36;11
1/15/24;Jarrahdale;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;38;11
1/15/24;Oakford;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;34;14,02
