Date;Suburb;Location;Area;Maximum temperature (�C);Evaporation (mm)
2/9/24;Jarrahdale;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;43.06.00;14,02
2/9/24;Casuarina;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;41.03.00;14,02
2/9/24;Oldbury;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;42.06.00;14,02
2/9/24;Serpentine;CASUARINA and OLDBURY;CITY OF KWINANA and SHIRE OF SERPENTINE JARRAHDALE;41.03.00;14,02
2/9/24;Bullsbrook;BULLSBROOK;CITY OF SWAN;44.08.00;14,02
2/9/24;Spearwood;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;42.06.00;14,02
2/9/24;Bibra Lake;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;42.06.00;14,02
2/9/24;Coogee;SPEARWOOD, LAKE COOGEE, BIBRA LAKE and YANGEBUP;CITY OF COCKBURN;42.06.00;14,02
2/9/24;Spearwood;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;42.06.00;14,02
2/9/24;Coogee;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;42.06.00;14,02
2/9/24;Munster;SPEARWOOD, MUNSTER and LAKE COOGEE;CITY OF COCKBURN;42.06.00;14,02
1/5/24;East Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;28.07.00;14,02
1/5/24;Rockingham;EAST ROCKINGHAM;CITY OF ROCKINGHAM;28.07.00;14,02
1/12/24;Jarrahdale;JARRAHDALE;SHIRE OF SERPENTINE-JARRAHDALE;38.01.00;9,02
1/12/24;Oakford;OAKFORD;SHIRE OF SERPENTINE-JARRAHDALE;37.01.00;14,02
1/12/24;Serpentine;SERPENTINE;SHIRE OF SERPENTINE-JARRAHDALE;36.01.00;14,02
1/19/24;Hamersley;NANUTARRA and HAMERSLEY RANGE;SHIRE OF ASHBURTON;27.06.00;10,02
1/26/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;32.06.00;14,02
1/26/24;Southern River;the Collie River;SHIRES OF COLLIE AND DARDANUP;32.06.00;14,02
12/4/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;26.05.00;8
12/4/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;26.01.00;8
12/4/23;Wanneroo;JANDABUP and MARIGINIUP;CITY OF WANNEROO;26.05.00;8
12/4/23;Mariginiup;JANDABUP and MARIGINIUP;CITY OF WANNEROO;29.07.00;14,02
12/4/23;South Lake;Lake Muir Nature Reserve;Shire of Manjimup;26.01.00;8
12/4/23;Hamersley;HAMERSLEY RANGE;SHIRE OF ASHBURTON;26.05.00;8
12/18/23;Kalamunda;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;30.02.00;14,02
12/18/23;Kewdale;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;31.06.00;13
12/18/23;Welshpool;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;31.06.00;13
12/18/23;Wattle Grove;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;30.02.00;14,02
12/18/23;Belmont;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;31.02.00;13
12/18/23;Kalamunda;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;30.02.00;14,02
12/18/23;Kewdale;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;31.06.00;13
12/18/23;Welshpool;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;31.06.00;13
12/18/23;Wattle Grove;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;30.02.00;14,02
12/18/23;Belmont;KEWDALE, WATTLE GROVE and WELSHPOOL;CITIES OF BELMONT, CANNING and KALAMUNDA;31.02.00;13
12/25/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;38.07.00;14,02
12/25/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;38.07.00;14,02
12/25/23;The Spectacles;POSTANS and THE SPECTACLES;CITY OF KWINANA;36.02.00;14,02
12/25/23;Postans;POSTANS and THE SPECTACLES;CITY OF KWINANA;37.05.00;9,04
12/25/23;Jarrahdale;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;38.08.00;9,04
12/25/23;Keysbrook;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;35;14,02
12/25/23;Serpentine;KEYSBROOK and NORTH DANDALUP;SHIRES OF SERPENTINE-JARRAHDALE and MURRAY;27.07.00;14,02
12/25/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;38.08.00;9,04
12/25/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;38.08.00;9,04
12/25/23;Bailup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;38.08.00;8,01
12/25/23;Mundaring;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;38.07.00;14,02
12/25/23;Mundaring;PARKERVILLE;SHIRE OF MUNDARING;38.07.00;14,02
12/25/23;Parkerville;PARKERVILLE;SHIRE OF MUNDARING;38.07.00;14,02
12/25/23;Gidgegannup;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;38.08.00;9,04
12/25/23;Wooroloo;BAILUP, GIDGEGANNUP and WOOROLOO;CITY OF SWAN and the SHIRE OF MUNDARING;38.08.00;9,04
